 Q1  Q2  Q3  Q4  Q5  Q6  L1  L2  L3  L4  L5
  0   0   0   0   0   0   0   1   0   0   0
  0   0   0   0   0   1   0   1   0   0   0
  0   0   0   0   1   0   0   1   0   0   1
  0   0   0   0   1   1   0   1   0   0   1
  0   0   0   1   0   0   0   1   0   1   0
  0   0   0   1   0   1   0   1   0   1   0
  0   0   0   1   1   0   0   1   0   0   1
  0   0   0   1   1   1   0   1   0   0   1
  0   0   1   0   0   0   0   1   0   0   0
  0   0   1   0   0   1   0   1   0   0   0
  0   0   1   0   1   0   0   1   0   0   1
  0   0   1   0   1   1   0   1   0   0   1
  0   0   1   1   0   0   0   1   0   1   0
  0   0   1   1   0   1   0   1   0   1   0
  0   0   1   1   1   0   0   1   0   0   1
  0   0   1   1   1   1   0   1   0   0   1
  0   1   0   0   0   0   0   1   0   0   0
  0   1   0   0   0   1   0   1   0   0   0
  0   1   0   0   1   0   0   1   0   0   1
  0   1   0   0   1   1   0   1   0   0   1
  0   1   0   1   0   0   0   1   0   1   0
  0   1   0   1   0   1   0   1   0   1   0
  0   1   0   1   1   0   0   1   0   0   1
  0   1   0   1   1   1   0   1   0   0   1
  0   1   1   0   0   0   0   1   0   0   0
  0   1   1   0   0   1   0   1   0   0   0
  0   1   1   0   1   0   0   1   0   0   1
  0   1   1   0   1   1   0   1   0   0   1
  0   1   1   1   0   0   0   1   0   1   0
  0   1   1   1   0   1   0   1   0   1   0
  0   1   1   1   1   0   0   1   0   0   1
  0   1   1   1   1   1   0   1   0   0   1
  1   0   0   0   0   0   1   0   1   0   0
  1   0   0   0   0   1   1   0   1   0   0
  1   0   0   0   1   0   1   0   1   0   1
  1   0   0   0   1   1   1   0   1   0   1
  1   0   0   1   0   0   1   1   1   1   0
  1   0   0   1   0   1   1   1   1   1   0
  1   0   0   1   1   0   1   1   1   0   1
  1   0   0   1   1   1   1   1   1   0   1
  1   0   1   0   0   0   1   0   1   0   0
  1   0   1   0   0   1   1   0   1   0   0
  1   0   1   0   1   0   1   0   1   0   1
  1   0   1   0   1   1   1   0   1   0   1
  1   0   1   1   0   0   1   1   1   1   0
  1   0   1   1   0   1   1   1   1   1   0
  1   0   1   1   1   0   1   1   1   0   1
  1   0   1   1   1   1   1   1   1   0   1
  1   1   0   0   0   0   1   0   1   0   0
  1   1   0   0   0   1   1   0   1   0   0
  1   1   0   0   1   0   1   0   1   0   1
  1   1   0   0   1   1   1   0   1   0   1
  1   1   0   1   0   0   1   1   1   1   0
  1   1   0   1   0   1   1   1   1   1   0
  1   1   0   1   1   0   1   1   1   0   1
  1   1   0   1   1   1   1   1   1   0   1
  1   1   1   0   0   0   1   0   1   0   0
  1   1   1   0   0   1   1   0   1   0   0
  1   1   1   0   1   0   1   0   1   0   1
  1   1   1   0   1   1   1   0   1   0   1
  1   1   1   1   0   0   1   1   1   1   0
  1   1   1   1   0   1   1   1   1   1   0
  1   1   1   1   1   0   1   1   1   0   1
  1   1   1   1   1   1   1   1   1   0   1
